"Tipo","Estado","Fecha","Proveedor / Item","Detalle / Descripcion","Monto (CLP)","Comprobante / Archivo","Asociado a"
"Gasto","PAGADO","20/08/2026","AliExpress","Helices HQProp + Gemfan Vortex + Gemfan 8040","21881","/rendiciones/boletas/comprobante_2026-08-20_aliexpress_helices_21881.png","Transf. 28/08/2026"
"Gasto","PAGADO","21/08/2026","Pinturas Motta SpA","Insumos de pintura (Monjitas 359)","11400","/rendiciones/boletas/boleta_2026-08-21_pinturas_motta_11400.png","Transf. 28/08/2026"
"Gasto","PAGADO","22/08/2026","AliExpress","2x Servos Feetech 30KG ($87.582) + 2x Actuadores lineales ($37.223)","124805","/rendiciones/boletas/comprobante_2026-08-22_aliexpress_servos_actuadores.png","Transf. 28/08/2026"
"Gasto","PAGADO","24/08/2026","Sodimac","Aerografo Indura + Agua desmineralizada 5L + 2x Placa MDF 3mm","61090","/rendiciones/boletas/boleta_2026-08-24_sodimac_61090.png","Transf. 28/08/2026"
"Gasto","PENDIENTE","24/08/2026","Bencina / Traslado","Traslado en vehiculo para poder llevar las planchas de MDF","10000","","Por cobrar"
"Gasto","PENDIENTE","24/08/2026","MercadoLibre","Pistola de Pintura HVLP 1.0 + Regulador de presion","31165","/rendiciones/boletas/comprobante_2026-08-24_mercadolibre_pistola_aire_31165.png","Por cobrar"
"Gasto","PENDIENTE","27/08/2026","MercadoLibre","Primer Rust-oleum 2 en 1 + Masilla Poliester + Espatulas","38500","/rendiciones/boletas/comprobante_2026-08-27_mercadolibre_masilla_primer_38500.png","Por cobrar"
"Gasto","PENDIENTE","28/08/2026","Pinturas Motta SpA","Pinturas / Insumos de pintura (Monjitas 359 - GETNET 023003)","32000","/rendiciones/boletas/boleta_2026-08-28_pinturas_motta_32000.png","Por cobrar"
"Gasto","PENDIENTE","29/08/2026","Bencina / Traslado","Traslado en vehiculo para llevarse el dock y avanzar el fin de semana","10000","","Por cobrar"
"Abono","RECIBIDO","28/08/2026","Skydrone SpA","Transferencia N Operacion 6032572678","-220000","/rendiciones/boletas/transferencia_2026-08-28_220000.png",""
